time,batteryLevel,Speed,Servo
"03-01-2023, 13:16:57",47,760,928
"03-01-2023, 13:17:07",47,760,928
"03-01-2023, 13:17:17",47,760,928
"03-01-2023, 13:17:27",47,760,928
"03-01-2023, 13:17:37",47,760,928
"03-01-2023, 13:17:47",47,760,928
"03-01-2023, 13:17:57",47,760,928
"03-01-2023, 13:18:04",46,760,928
"03-01-2023, 13:18:17",47,760,798
"03-01-2023, 13:18:20",44,760,683
"03-01-2023, 13:18:30",46,760,971
"03-01-2023, 13:18:41",46,760,524
"03-01-2023, 13:18:56",46,760,524
"03-01-2023, 13:19:00",47,760,971
"03-01-2023, 13:19:10",46,760,995
"03-01-2023, 13:19:24",46,760,995
"03-01-2023, 13:19:30",46,760,995
"03-01-2023, 13:19:40",46,760,668
"03-01-2023, 13:19:49",46,760,971
"03-01-2023, 13:20:06",46,760,971
"03-01-2023, 13:20:09",46,760,683
"03-01-2023, 13:20:19",46,760,798
"03-01-2023, 13:20:35",46,760,798
"03-01-2023, 13:20:45",46,760,798
"03-01-2023, 13:20:53",46,760,798
"03-01-2023, 13:21:05",46,760,678
"03-01-2023, 13:21:15",47,760,678
"03-01-2023, 13:21:25",47,760,678
"03-01-2023, 13:21:35",46,760,678
"03-01-2023, 13:21:45",47,760,678
"03-01-2023, 13:25:43",46,760,678
"03-01-2023, 13:25:53",46,760,678
"03-01-2023, 13:26:03",46,760,678
"03-01-2023, 13:26:13",46,760,678
"03-01-2023, 13:26:23",46,760,678
"03-01-2023, 13:26:33",46,760,678
"03-01-2023, 13:26:43",46,760,678
"03-01-2023, 13:26:53",47,760,678
"03-01-2023, 13:27:03",46,760,678
"03-01-2023, 13:27:13",46,760,678
"03-01-2023, 13:27:53",46,0,0
"03-01-2023, 13:28:08",47,760,721
"03-01-2023, 13:28:12",47,760,678
"03-01-2023, 13:28:24",46,760,678
"03-01-2023, 13:28:33",46,760,683
"03-01-2023, 13:28:48",47,760,798
"03-01-2023, 13:28:58",46,760,798
"03-01-2023, 13:29:08",46,760,798
"03-01-2023, 13:29:12",47,760,798
"03-01-2023, 13:29:22",46,760,798
"03-01-2023, 13:29:32",47,760,524
"03-01-2023, 13:29:48",46,760,524
"03-01-2023, 13:29:57",46,760,524
"03-01-2023, 13:30:01",41,918,524
"03-01-2023, 13:30:12",45,760,524
"03-01-2023, 13:30:27",46,760,524
"03-01-2023, 13:30:37",46,760,524
"03-01-2023, 13:30:47",46,760,524
"03-01-2023, 13:30:57",46,760,524
"03-01-2023, 13:31:07",46,760,524
"03-01-2023, 13:31:17",46,760,524
"03-01-2023, 13:31:27",46,760,524
"03-01-2023, 13:31:37",46,760,524
"03-01-2023, 13:31:47",47,760,524
"03-01-2023, 13:31:57",46,760,524
"03-01-2023, 13:32:07",46,760,524
"03-01-2023, 13:32:16",46,760,524
"03-01-2023, 13:32:26",47,760,524
"03-01-2023, 13:32:36",47,760,524
"03-01-2023, 13:32:46",47,760,524
"03-01-2023, 13:32:56",47,760,524
"03-01-2023, 13:33:06",47,760,524
"03-01-2023, 13:33:16",47,760,524
"03-01-2023, 13:33:26",47,760,524
"03-01-2023, 13:33:36",47,760,524
"03-01-2023, 13:33:46",47,760,524
"03-01-2023, 13:33:56",47,760,524
"03-01-2023, 13:34:06",47,760,524
"03-01-2023, 13:34:16",47,760,524
"03-01-2023, 13:34:26",47,760,524
"03-01-2023, 13:34:36",47,760,524
"03-01-2023, 13:34:45",47,760,524
"03-01-2023, 14:01:55",86,36,92
"03-01-2023, 14:23:12",46,530,390
"03-01-2023, 14:25:51",46,530,390
"03-01-2023, 14:26:14",46,640,490
"03-01-2023, 14:26:25",45,850,728
